feature,corr_label_generic,anova_f_label,abs_corr_generic,noise_fragility,data_type
Tot Fwd Pkts,0.0254476643149087,2004973.399760116,0.0254476643149087,🔴 High fragility,continuous
Bwd Pkts/s,0.2600926199208206,1839066.377717608,0.2600926199208206,🔴 High fragility,continuous
TotLen Fwd Pkts,0.0187157962089425,735107.4183418876,0.0187157962089425,🔴 High fragility,continuous
Fwd Seg Size Min,0.429961724891177,621783.2708217805,0.429961724891177,🟢 Low fragility (robust),categorical
Init Fwd Win Byts,0.2180480628693701,302872.0357052295,0.2180480628693701,🟡 Medium fragility,continuous
Fwd Pkts/s,0.0715085805354109,138786.23267059342,0.0715085805354109,🔴 High fragility,continuous
Bwd IAT Mean,-0.0526695641345862,98738.58008656008,0.0526695641345862,🔴 High fragility,continuous
URG Flag Cnt,-0.0028820308671325,81837.40117542015,0.0028820308671325,🔴 High fragility,binary
Bwd Pkt Len Min,-0.2186578066785142,62844.349130743925,0.2186578066785142,🟡 Medium fragility,continuous
Fwd Pkt Len Max,-0.1890366702600952,61004.77085072535,0.1890366702600952,🔴 High fragility,continuous
Fwd Pkt Len Min,-0.1907550815308077,48540.76157589001,0.1907550815308077,🔴 High fragility,continuous
Bwd Pkt Len Mean,-0.1577444751194882,45954.52994316448,0.1577444751194882,🔴 High fragility,continuous
Bwd Pkt Len Max,-0.1089715033140437,43107.51993748636,0.1089715033140437,🟡 Medium fragility,continuous
Init Bwd Win Byts,-0.181595248695512,40392.55726567217,0.181595248695512,🟡 Medium fragility,continuous
Flow IAT Std,-0.0918847861737659,39290.216096988224,0.0918847861737659,🔴 High fragility,continuous
Flow Duration,-0.1237817192512838,29589.935975415126,0.1237817192512838,🔴 High fragility,continuous
Bwd IAT Std,-0.0809401508827637,23355.692089486984,0.0809401508827637,🔴 High fragility,continuous
Flow IAT Mean,-0.0286213105330749,22890.240270366336,0.0286213105330749,🔴 High fragility,continuous
Bwd IAT Tot,-0.1140868706517282,22361.581727266846,0.1140868706517282,🔴 High fragility,continuous
Idle Min,-0.0548224183932864,21287.95244856639,0.0548224183932864,🔴 High fragility,continuous
Down/Up Ratio,-0.0227344341484221,17747.327256964592,0.0227344341484221,🔴 High fragility,continuous
Fwd PSH Flags,-0.0858139607838014,11629.386245122778,0.0858139607838014,🔴 High fragility,binary
Fwd URG Flags,0.0099182355470679,3931.1129933345305,0.0099182355470679,🔴 High fragility,binary
Pkt Len Var,-0.034740505809821,3312.197632368745,0.034740505809821,🔴 High fragility,continuous
Active Mean,-0.0258179082943834,1760.4588561542407,0.0258179082943834,🔴 High fragility,continuous
Active Std,-0.0224803147639132,933.7621834516244,0.0224803147639132,🔴 High fragility,continuous
FIN Flag Cnt,-0.0242265480703729,806.0583679000644,0.0242265480703729,🔴 High fragility,binary
Tot Bwd Pkts,-0.0116415723257935,209.35657139750296,0.0116415723257935,🔴 High fragility,continuous
