Label_enc val_MAE,Label_enc val_MAPE,Label_enc val_RMSE,Label_enc val_SMAPE,epoch,label_generic_enc val_MAE,label_generic_enc val_MAPE,label_generic_enc val_RMSE,label_generic_enc val_SMAPE,step,train_loss_epoch,train_loss_step,val_loss
,,,,0,,,,,49,,1.066406488418579,
,,,,0,,,,,99,,0.9601248502731323,
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99,,,0.1345430612564087
,,,,0,,,,,99,1.144982933998108,,
,,,,1,,,,,149,,0.7585341930389404,
,,,,1,,,,,199,,0.6555033922195435,
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,199,,,0.13445976376533508
,,,,1,,,,,199,0.8040044903755188,,
,,,,2,,,,,249,,0.8390160799026489,
,,,,2,,,,,299,,0.6824861764907837,
0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,299,,,0.09676247835159302
,,,,2,,,,,299,0.7499861717224121,,
,,,,3,,,,,349,,0.8859562873840332,
,,,,3,,,,,399,,0.6481492519378662,
0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,399,,,0.18888312578201294
,,,,3,,,,,399,0.683321475982666,,
,,,,4,,,,,449,,0.45831018686294556,
,,,,4,,,,,499,,0.5211028456687927,
0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,499,,,0.017904844135046005
,,,,4,,,,,499,0.5694643259048462,,
,,,,5,,,,,549,,0.43139633536338806,
,,,,5,,,,,599,,0.4496312737464905,
0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,599,,,0.011167429387569427
,,,,5,,,,,599,0.4950565695762634,,
,,,,6,,,,,649,,0.5291611552238464,
,,,,6,,,,,699,,0.6504042744636536,
0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,699,,,0.007682426832616329
,,,,6,,,,,699,0.4835500419139862,,
,,,,7,,,,,749,,0.4635610580444336,
,,,,7,,,,,799,,0.519253134727478,
0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,799,,,0.006934305652976036
,,,,7,,,,,799,0.4740236699581146,,
,,,,8,,,,,849,,0.4328070878982544,
,,,,8,,,,,899,,0.41763484477996826,
0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,899,,,0.004385866224765778
,,,,8,,,,,899,0.4662086069583893,,
,,,,9,,,,,949,,0.3797453045845032,
,,,,9,,,,,999,,0.5898751020431519,
0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,999,,,0.003783577587455511
,,,,9,,,,,999,0.4626305401325226,,
,,,,10,,,,,1049,,0.5234497785568237,
,,,,10,,,,,1099,,0.45710569620132446,
0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,1099,,,0.0038494905456900597
,,,,10,,,,,1099,0.46310263872146606,,
,,,,11,,,,,1149,,0.3579787015914917,
,,,,11,,,,,1199,,0.4395434856414795,
0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1199,,,0.0030879955738782883
,,,,11,,,,,1199,0.45353859663009644,,
,,,,12,,,,,1249,,0.4012135863304138,
,,,,12,,,,,1299,,0.4056006073951721,
0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1299,,,0.0027566009666770697
,,,,12,,,,,1299,0.4469136893749237,,
,,,,13,,,,,1349,,0.3913842439651489,
,,,,13,,,,,1399,,0.5524003505706787,
0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,1399,,,0.002743744058534503
,,,,13,,,,,1399,0.44331255555152893,,
,,,,14,,,,,1449,,0.640171229839325,
,,,,14,,,,,1499,,0.4148232340812683,
0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,1499,,,0.002848501782864332
,,,,14,,,,,1499,0.44235745072364807,,
,,,,15,,,,,1549,,0.409623384475708,
,,,,15,,,,,1599,,0.2831125259399414,
0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,1599,,,0.002347025088965893
,,,,15,,,,,1599,0.44528084993362427,,
,,,,16,,,,,1649,,0.49661746621131897,
,,,,16,,,,,1699,,0.44495630264282227,
0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,1699,,,0.002144490834325552
,,,,16,,,,,1699,0.4407956600189209,,
,,,,17,,,,,1749,,0.49565213918685913,
,,,,17,,,,,1799,,0.378298819065094,
0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,1799,,,0.0023121412377804518
,,,,17,,,,,1799,0.4405387043952942,,
,,,,18,,,,,1849,,0.414164662361145,
,,,,18,,,,,1899,,0.3683835566043854,
0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,1899,,,0.002175448462367058
,,,,18,,,,,1899,0.43646690249443054,,
,,,,19,,,,,1949,,0.4164813458919525,
,,,,19,,,,,1999,,0.4374861717224121,
0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,1999,,,0.002814921783283353
,,,,19,,,,,1999,0.43672075867652893,,
,,,,20,,,,,2049,,0.5196803212165833,
,,,,20,,,,,2099,,0.5024429559707642,
0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,2099,,,0.0017699474701657891
,,,,20,,,,,2099,0.436457097530365,,
,,,,21,,,,,2149,,0.43781596422195435,
